Image,Femur_Width_px,Tibia_Width_px,Min_JSW_px,Avg_JSW_px
Image_1054.jpg,200,189,8,17.03174603174603
Image_1055 copy.jpg,205,186,8,13.941176470588236
Image_1055.jpg,188,179,8,15.161111111111111
Image_1056 copy.jpg,209,194,8,15.184615384615384
Image_1056.jpg,218,199,9,16.09045226130653
Image_1057 copy.jpg,202,194,5,14.475675675675676
Image_1057.jpg,205,189,10,16.38421052631579
Image_1058 copy.jpg,203,193,9,14.947916666666666
Image_1058.jpg,208,189,7,14.446808510638299
Image_1059 copy.jpg,194,180,6,11.508287292817679
Image_1059.jpg,202,190,10,17.32460732984293
Image_106 copy.jpg,195,180,8,21.005524861878452
Image_106.jpg,208,199,7,16.86
Image_1060 copy.jpg,202,197,3,9.26842105263158
Image_1060.jpg,211,200,9,18.096446700507613
Image_1061 copy.jpg,210,190,9,20.347368421052632
Image_1061.jpg,195,180,12,19.43646408839779
Image_1062 copy.jpg,196,186,6,16.06951871657754
Image_1062.jpg,201,183,6,12.184782608695652
Image_1063 copy.jpg,197,185,8,14.85483870967742
Image_1063.jpg,204,190,5,11.277486910994764
Image_1064 copy.jpg,199,187,8,14.074468085106384
Image_1064.jpg,215,194,8,16.102564102564102
Image_1065 copy.jpg,195,185,9,15.924324324324324
Image_1065.jpg,198,185,7,13.53763440860215
Image_1066 copy.jpg,200,183,8,14.625
Image_1066.jpg,199,185,10,18.177419354838708
Image_1067 copy.jpg,205,186,9,16.78609625668449
Image_1067.jpg,194,184,7,13.1
Image_1068 copy.jpg,209,188,9,15.915343915343914
Image_1068.jpg,198,183,10,16.168478260869566
Image_1069 copy.jpg,198,189,6,11.094736842105263
Image_1069.jpg,202,186,11,16.609625668449198
Image_107 copy.jpg,198,185,5,15.134408602150538
Image_107.jpg,192,176,7,14.107344632768362
Image_1070 copy.jpg,192,184,8,14.427027027027027
Image_1070.jpg,201,179,10,15.738888888888889
Image_1071 copy.jpg,204,186,6,17.86096256684492
Image_1071.jpg,202,188,8,13.91005291005291
Image_1072 copy.jpg,200,188,9,17.3475935828877
Image_1072.jpg,198,181,6,10.279329608938548
Image_1073 copy.jpg,195,182,11,17.557377049180328
Image_1073.jpg,207,184,8,14.85945945945946
Image_1074 copy.jpg,200,189,7,12.736842105263158
Image_1074.jpg,192,177,8,14.382022471910112
Image_1075 copy.jpg,197,180,9,12.61878453038674
Image_1075.jpg,188,185,9,13.289617486338798
Image_1076 copy.jpg,203,190,9,20.13612565445026
Image_1076.jpg,203,182,10,16.530054644808743
Image_1077 copy.jpg,198,182,4,15.453038674033149
Image_1077.jpg,206,195,10,16.709183673469386
Image_1078 copy.jpg,196,185,7,14.39247311827957
Image_1078.jpg,202,191,5,13.884816753926701
Image_1079 copy.jpg,195,187,7,14.691489361702128
Image_1079.jpg,189,178,9,14.329608938547485
Image_108 copy.jpg,196,183,9,15.641304347826088
Image_108.jpg,204,196,9,18.15736040609137
Image_1080 copy.jpg,206,190,8,16.361256544502616
Image_1080.jpg,174,177,6,13.420118343195266
Image_1081 copy.jpg,194,183,6,15.467032967032967
Image_1081.jpg,205,193,9,16.638297872340427
Image_1082 copy.jpg,197,182,9,19.92896174863388
Image_1082.jpg,201,187,11,18.51595744680851
Image_1083 copy.jpg,189,182,8,17.672131147540984
Image_1083.jpg,197,185,9,17.75824175824176
Image_1084 copy.jpg,197,182,10,17.64835164835165
Image_1084.jpg,191,182,8,15.084269662921349
Image_1085 copy.jpg,203,194,7,12.575129533678757
Image_1085.jpg,185,182,11,15.3224043715847
Image_1086 copy.jpg,209,190,10,18.173684210526314
Image_1086.jpg,209,197,5,14.1010101010101
Image_1087 copy.jpg,189,182,8,15.06043956043956
Image_1087.jpg,197,182,7,13.775956284153006
Image_1088 copy.jpg,192,186,9,14.387978142076502
Image_1088.jpg,195,185,7,14.907608695652174
Image_1089 copy.jpg,190,172,6,12.787878787878787
Image_1089.jpg,195,181,7,13.417582417582418
Image_109 copy.jpg,213,199,6,13.725
Image_109.jpg,196,184,6,13.962162162162162
Image_1090 copy.jpg,202,188,6,12.71957671957672
Image_1090.jpg,201,180,9,14.767955801104973
Image_1091 copy.jpg,200,184,10,20.35135135135135
Image_1091.jpg,208,190,5,14.418848167539267
Image_1092 copy.jpg,195,181,7,19.194444444444443
Image_1092.jpg,195,182,10,18.371584699453553
Image_1093 copy.jpg,208,193,10,16.703125
Image_1093.jpg,201,182,11,20.693989071038253
Image_1094 copy.jpg,199,183,8,16.58695652173913
Image_1094.jpg,203,191,10,17.780104712041886
Image_1095 copy.jpg,199,187,7,13.27127659574468
Image_1095.jpg,192,194,11,20.203125
Image_1096 copy.jpg,209,198,11,17.712041884816752
Image_1096.jpg,206,185,10,17.526881720430108
Image_1097 copy.jpg,196,187,6,12.295081967213115
Image_1097.jpg,199,187,9,18.170212765957448
Image_1098 copy.jpg,199,190,7,17.48167539267016
Image_1098.jpg,209,189,8,16.18421052631579
Image_1099 copy.jpg,204,194,7,17.172774869109947
Image_1099.jpg,202,186,7,15.647058823529411
Image_11 copy.jpg,200,190,5,15.065573770491802
Image_11.jpg,197,185,4,11.650537634408602
Image_110 copy.jpg,201,184,9,14.221621621621622
Image_110.jpg,202,189,9,17.326315789473686
Image_1100 copy.jpg,198,183,8,16.08695652173913
Image_1100.jpg,191,185,6,17.553763440860216
Image_1101 copy.jpg,201,189,14,23.54736842105263
Image_1101.jpg,193,184,4,11.621621621621621
Image_1102 copy.jpg,188,181,7,15.718232044198896
Image_1102.jpg,200,181,10,21.082417582417584
Image_1103 copy.jpg,197,184,7,17.016216216216215
Image_1103.jpg,203,191,11,18.729166666666668
Image_1104 copy.jpg,196,188,9,16.417582417582416
Image_1104.jpg,206,193,14,22.89005235602094
Image_1105 copy.jpg,207,190,10,15.942408376963352
Image_1105.jpg,200,183,10,15.521739130434783
Image_1106 copy.jpg,218,204,5,16.565853658536586
Image_1106.jpg,196,181,7,13.280219780219781
Image_1107 copy.jpg,208,191,8,14.151041666666666
Image_1107.jpg,198,187,4,10.962765957446809
Image_1108 copy.jpg,200,192,8,14.53191489361702
Image_1108.jpg,210,190,8,16.30366492146597
Image_1109 copy.jpg,190,183,10,14.809782608695652
Image_1109.jpg,209,187,10,15.98936170212766
Image_111 copy.jpg,187,179,6,14.633333333333333
Image_111.jpg,198,190,8,17.478947368421053
Image_1110 copy.jpg,192,178,9,16.64245810055866
Image_1110.jpg,198,183,6,14.826086956521738
Image_1111 copy.jpg,196,188,4,11.283333333333333
Image_1111.jpg,215,198,6,11.109947643979057
Image_1112 copy.jpg,196,186,8,16.299465240641712
Image_1112.jpg,195,186,8,16.502673796791445
Image_1113 copy.jpg,183,177,5,9.801136363636363
Image_1113.jpg,196,187,10,19.197860962566846
Image_1114 copy.jpg,207,182,8,14.688524590163935
Image_1114.jpg,201,209,6,13.925531914893616
Image_1115 copy.jpg,195,183,7,12.902173913043478
Image_1115.jpg,201,186,10,16.494565217391305
Image_1116 copy.jpg,206,191,6,15.286458333333334
Image_1116.jpg,191,188,9,17.205405405405404
Image_1117 copy.jpg,198,185,7,14.956989247311828
Image_1117.jpg,203,195,8,18.112244897959183
Image_1118 copy.jpg,206,201,7,17.193069306930692
Image_1118.jpg,196,182,11,17.863387978142075
Image_1119 copy.jpg,201,185,9,19.64516129032258
Image_1119.jpg,198,188,8,17.132275132275133
Image_112 copy.jpg,202,195,3,12.68586387434555
Image_112.jpg,207,193,8,13.282722513089006
Image_1120 copy.jpg,197,182,10,17.961748633879782
Image_1120.jpg,206,184,8,16.14054054054054
Image_1121 copy.jpg,212,200,9,17.92
Image_1121.jpg,201,190,7,15.126315789473685
Image_1122 copy.jpg,204,193,8,15.390625
Image_1122.jpg,196,185,9,15.919354838709678
Image_1123 copy.jpg,213,190,8,15.706806282722512
Image_1123.jpg,195,180,9,15.43646408839779
Image_1124 copy.jpg,199,194,5,12.897435897435898
Image_1124.jpg,216,194,9,17.16923076923077
Image_1125 copy.jpg,204,199,6,14.125
Image_1125.jpg,197,182,10,14.109289617486338
Image_1126 copy.jpg,211,197,8,17.373737373737374
Image_1126.jpg,207,193,5,15.864583333333334
Image_1127 copy.jpg,204,186,10,16.75
Image_1127.jpg,223,199,7,17.035
Image_1128 copy.jpg,209,207,9,15.47
Image_1128.jpg,196,187,7,13.101604278074866
Image_1129 copy.jpg,202,192,10,17.181347150259068
Image_1129.jpg,196,186,6,11.346368715083798
Image_113 copy.jpg,191,181,8,13.587912087912088
Image_113.jpg,210,196,11,19.307692307692307
Image_1130 copy.jpg,209,197,9,16.664893617021278
Image_1130.jpg,201,183,8,12.83695652173913
Image_1131 copy.jpg,196,182,9,16.737704918032787
Image_1131.jpg,204,191,9,15.41578947368421
Image_1132 copy.jpg,204,193,9,19.015706806282722
Image_1132.jpg,201,193,9,15.93298969072165
Image_1133 copy.jpg,193,190,5,14.771739130434783
Image_1133.jpg,190,180,8,14.07182320441989
Image_1134 copy.jpg,198,184,7,15.657303370786517
Image_1134.jpg,193,179,8,12.566666666666666
Image_1135 copy.jpg,198,196,11,20.436548223350254
Image_1135.jpg,214,196,8,14.50253807106599
Image_1136 copy.jpg,207,192,10,20.364583333333332
Image_1136.jpg,211,196,14,24.14720812182741
Image_1137 copy.jpg,195,185,7,16.236559139784948
Image_1137.jpg,201,182,9,16.306010928961747
Image_1138 copy.jpg,192,178,7,12.849162011173185
Image_1138.jpg,209,195,9,14.989528795811518
Image_1139 copy.jpg,198,183,10,15.396739130434783
Image_1139.jpg,207,199,7,16.42
Image_114 copy.jpg,204,184,8,15.183783783783785
Image_114.jpg,199,186,7,14.913513513513514
Image_1140 copy.jpg,200,185,7,13.82258064516129
Image_1140.jpg,197,190,9,16.321052631578947
Image_1141 copy.jpg,198,185,9,16.403225806451612
Image_1141.jpg,210,197,8,15.121212121212121
Image_1142 copy.jpg,187,175,7,13.25
Image_1142.jpg,206,195,5,15.10204081632653
Image_1143 copy.jpg,208,192,6,11.697916666666666
Image_1143.jpg,201,182,9,15.6448087431694
Image_1144 copy.jpg,201,187,7,19.93617021276596
Image_1144.jpg,208,191,7,15.28125
Image_1145 copy.jpg,208,195,14,26.178571428571427
Image_1145.jpg,193,182,6,14.027322404371585
Image_1146 copy.jpg,183,179,10,17.807909604519775
Image_1146.jpg,211,196,8,14.939086294416244
Image_1147 copy.jpg,197,187,8,16.0531914893617
Image_1147.jpg,210,195,9,15.459183673469388
Image_1148 copy.jpg,193,183,9,13.809782608695652
Image_1148.jpg,194,181,8,15.010989010989011
Image_1149 copy.jpg,201,191,12,20.078534031413614
Image_1149.jpg,198,188,9,16.126984126984127
Image_115 copy.jpg,193,178,9,14.40782122905028
Image_115.jpg,197,185,8,16.516129032258064
Image_1150 copy.jpg,193,181,6,13.06043956043956
Image_1150.jpg,215,195,11,17.23469387755102
Image_1151 copy.jpg,204,188,7,15.656084656084657
Image_1151.jpg,191,178,5,10.46927374301676
Image_1152 copy.jpg,216,199,11,19.86
Image_1152.jpg,201,188,9,14.878306878306878
Image_1153 copy.jpg,184,181,12,19.708791208791208
Image_1153.jpg,196,186,11,18.336898395721924
Image_1154 copy.jpg,215,206,5,11.889447236180905
Image_1154.jpg,193,183,6,14.847826086956522
Image_1155 copy.jpg,216,194,8,13.825641025641026
Image_1155.jpg,192,186,8,14.317204301075268
Image_1156 copy.jpg,202,191,9,14.375661375661375
Image_1156.jpg,198,191,8,16.486772486772487
Image_1157 copy.jpg,204,187,9,15.425531914893616
Image_1157.jpg,212,194,7,14.099476439790577
Image_1158 copy.jpg,194,184,10,16.472826086956523
Image_1158.jpg,196,190,8,16.910994764397905
Image_1159 copy.jpg,203,200,8,14.221649484536082
Image_1159.jpg,193,181,7,13.412087912087912
Image_116 copy.jpg,208,190,9,19.51595744680851
Image_116.jpg,203,188,6,12.444444444444445
Image_1160 copy.jpg,198,195,7,17.641025641025642
Image_1160.jpg,194,182,10,21.85792349726776
Image_1161 copy.jpg,189,181,9,13.666666666666666
Image_1161.jpg,200,187,8,16.920212765957448
Image_1162 copy.jpg,197,176,8,15.677966101694915
Image_1162.jpg,201,189,6,12.294736842105262
Image_1163 copy.jpg,193,180,8,16.666666666666668
Image_1163.jpg,195,181,7,16.34065934065934
Image_1164 copy.jpg,207,189,9,19.273684210526316
Image_1164.jpg,198,183,9,14.972826086956522
Image_1165 copy.jpg,205,192,9,16.005235602094242
Image_1165.jpg,196,183,8,16.190217391304348
Image_1166 copy.jpg,201,187,8,13.77659574468085
Image_1166.jpg,209,190,12,18.54973821989529
Image_1167 copy.jpg,205,193,8,16.030927835051546
Image_1167.jpg,197,183,9,15.831521739130435
Image_1168 copy.jpg,194,188,7,12.0
Image_1168.jpg,186,178,6,12.340782122905027
Image_1169 copy.jpg,200,185,9,17.483870967741936
Image_1169.jpg,209,193,9,19.072916666666668
Image_117 copy.jpg,188,181,13,21.324175824175825
Image_117.jpg,195,182,9,15.726775956284152
Image_1170 copy.jpg,196,187,11,17.617021276595743
Image_1170.jpg,201,184,9,18.154696132596683
Image_1171 copy.jpg,196,186,13,18.67914438502674
Image_1171.jpg,198,176,6,16.203389830508474
Image_1172 copy.jpg,183,180,10,16.53932584269663
Image_1172.jpg,205,190,6,13.010471204188482
Image_1173 copy.jpg,207,192,9,16.16062176165803
Image_1173.jpg,205,185,5,13.306451612903226
Image_1174 copy.jpg,188,184,9,14.733333333333333
Image_1174.jpg,197,179,10,14.983333333333333
Image_1175 copy.jpg,191,180,10,16.14364640883978
Image_1175.jpg,203,196,8,14.774869109947645
Image_1176 copy.jpg,207,197,3,12.137755102040817
Image_1176.jpg,187,177,7,12.05056179775281
Image_1177 copy.jpg,208,187,8,14.664893617021276
Image_1177.jpg,195,189,9,17.226315789473684
Image_1178 copy.jpg,197,188,7,15.703703703703704
Image_1178.jpg,202,187,8,15.655737704918034
Image_1179 copy.jpg,203,182,9,17.48087431693989
Image_1179.jpg,206,187,10,18.02659574468085
Image_118 copy.jpg,200,185,8,16.112903225806452
Image_118.jpg,196,180,9,18.011111111111113
Image_1180 copy.jpg,199,187,9,17.585106382978722
Image_1180.jpg,192,186,11,16.777173913043477
Image_1181 copy.jpg,202,192,13,23.181347150259068
Image_1181.jpg,206,185,7,13.903225806451612
Image_1182 copy.jpg,189,189,10,16.36046511627907
Image_1182.jpg,196,182,9,14.366120218579235
Image_1183 copy.jpg,217,207,10,18.10096153846154
Image_1183.jpg,189,178,5,12.543859649122806
Image_1184 copy.jpg,187,176,9,14.344632768361581
Image_1184.jpg,202,195,9,16.18877551020408
Image_1185 copy.jpg,200,183,11,19.565217391304348
Image_1185.jpg,213,185,8,15.903225806451612
Image_1186 copy.jpg,203,189,10,16.352631578947367
Image_1186.jpg,199,184,9,18.35135135135135
Image_1187 copy.jpg,201,182,9,16.25136612021858
Image_1187.jpg,193,183,8,14.722826086956522
Image_1188 copy.jpg,190,181,7,13.3646408839779
Image_1188.jpg,195,186,10,20.91891891891892
Image_1189 copy.jpg,202,193,7,13.361256544502618
Image_1189.jpg,200,183,9,13.41304347826087
Image_119 copy.jpg,202,184,7,14.594594594594595
Image_119.jpg,206,186,6,11.70053475935829
Image_1190 copy.jpg,194,180,7,11.561797752808989
Image_1190.jpg,191,175,7,15.795454545454545
Image_1191 copy.jpg,195,190,3,11.722222222222221
Image_1191.jpg,188,177,9,15.387640449438202
Image_1192 copy.jpg,203,189,8,19.357894736842105
Image_1192.jpg,207,200,8,15.9
Image_1193 copy.jpg,193,181,9,17.686813186813186
Image_1193.jpg,208,191,8,13.322916666666666
Image_1194 copy.jpg,205,193,10,18.417525773195877
Image_1194.jpg,197,188,10,16.0
Image_1195 copy.jpg,208,185,7,15.274193548387096
Image_1195.jpg,186,182,10,17.912087912087912
Image_1196 copy.jpg,204,188,10,15.920634920634921
Image_1196.jpg,180,168,10,15.289940828402367
Image_1197 copy.jpg,212,199,8,16.164102564102564
Image_1197.jpg,195,181,8,15.972527472527473
Image_1198 copy.jpg,203,184,6,16.63783783783784
Image_1198.jpg,202,200,6,11.911917098445596
Image_1199 copy.jpg,193,181,7,17.153846153846153
Image_1199.jpg,202,186,10,17.56149732620321
Image_12 copy.jpg,194,186,10,15.605405405405405
Image_12.jpg,189,181,7,14.313186813186814
Image_120 copy.jpg,193,184,8,16.88108108108108
Image_120.jpg,207,191,9,17.541666666666668
Image_1200 copy.jpg,191,177,8,13.50561797752809
Image_1200.jpg,198,188,9,17.164021164021165
Image_1201 copy.jpg,205,192,12,19.54973821989529
Image_1201.jpg,196,183,7,14.320652173913043
Image_1202 copy.jpg,208,190,3,14.326315789473684
Image_1202.jpg,192,181,8,13.23076923076923
Image_1203 copy.jpg,208,199,10,17.887179487179488
Image_1203.jpg,195,182,9,16.131147540983605
Image_1204 copy.jpg,199,187,7,14.320652173913043
Image_1204.jpg,205,193,8,16.566137566137566
Image_1205 copy.jpg,196,191,9,14.157068062827225
Image_1205.jpg,195,181,10,14.472527472527473
Image_1206 copy.jpg,202,195,12,20.913265306122447
Image_1206.jpg,188,180,8,14.779005524861878
Image_1207 copy.jpg,203,188,5,11.476190476190476
Image_1207.jpg,202,197,8,15.65625
Image_1208 copy.jpg,201,196,12,18.522842639593907
Image_1208.jpg,185,189,4,11.505555555555556
Image_1209 copy.jpg,202,189,7,13.895027624309392
Image_1209.jpg,190,180,7,14.9060773480663
Image_121 copy.jpg,206,190,8,15.821989528795811
Image_121.jpg,200,187,10,16.3031914893617
Image_1210 copy.jpg,203,188,10,16.349206349206348
Image_1210.jpg,193,181,5,14.428571428571429
